10601019,11627705,1,1,1
11627705,16924659,1,1,1
11627705,17791385,1,1,1
11627705,13834118,1,1,1
10656323,22046596,1,1,1
8389315,22046596,1,1,1
10169905,22046596,1,1,1
651715,672106,1,1,1
150478,651715,1,1,1
335223,651715,1,1,1
606859,651715,1,1,1
651715,755203,1,1,1
651715,792644,1,1,1
78966,651715,1,1,1
33845,651715,1,1,1
567476,651715,1,1,1
638963,651715,1,1,1
651715,810724,1,1,1
651715,850680,1,1,1
651715,839385,1,1,1
288978,651715,1,1,1
586503,651715,1,1,1
651715,934048,1,1,1
116038,651715,1,1,1
651715,804637,1,1,1
346058,651715,1,1,1
534739,651715,1,1,1
413562,651715,1,1,1
651715,810884,1,1,1
536614,651715,1,1,1
651715,822452,1,1,1
601908,651715,1,1,1
651715,811157,1,1,1
536222,651715,1,1,1
651715,814473,1,1,1
651715,950938,1,1,1
651715,896372,1,1,1
40044,651715,1,1,1
651715,662799,1,1,1
597134,651715,1,1,1
651715,854262,1,1,1
649595,651715,1,1,1
651715,801395,1,1,1
651715,665978,1,1,1
621362,651715,1,1,1
189963,651715,1,1,1
258490,651715,1,1,1
651715,653541,1,1,1
624490,651715,1,1,1
636262,651715,1,1,1
397240,651715,1,1,1
651715,908793,1,1,1
651715,841724,1,1,1
241286,651715,1,1,1
414463,651715,1,1,1
614390,651715,1,1,1
126187,651715,1,1,1
651715,708766,1,1,1
46158,651715,1,1,1
651715,832329,1,1,1
137780,651715,1,1,1
305886,651715,1,1,1
339301,651715,1,1,1
332635,651715,1,1,1
213301,651715,1,1,1
651715,946865,1,1,1
44949,651715,1,1,1
10851,651715,1,1,1
223631,651715,1,1,1
330216,651715,1,1,1
88047,651715,1,1,1
530882,651715,1,1,1
300397,651715,1,1,1
168607,651715,1,1,1
651715,820905,1,1,1
228925,651715,1,1,1
651715,916271,1,1,1
651715,896701,1,1,1
47337,651715,1,1,1
651715,668660,1,1,1
651715,949221,1,1,1
651715,840277,1,1,1
292999,651715,1,1,1
651715,751335,1,1,1
161844,651715,1,1,1
470160,651715,1,1,1
92552,651715,1,1,1
651715,793635,1,1,1
370982,651715,1,1,1
651715,746544,1,1,1
93208,651715,1,1,1
651715,777609,1,1,1
302513,651715,1,1,1
651715,689689,1,1,1
272875,651715,1,1,1
303331,651715,1,1,1
651715,896284,1,1,1
130757,651715,1,1,1
184741,651715,1,1,1
567313,651715,1,1,1
651715,709584,1,1,1
79355,651715,1,1,1
651715,813913,1,1,1
210587,651715,1,1,1
150478,672106,1,1,1
335223,672106,1,1,1
606859,672106,1,1,1
672106,755203,1,1,1
672106,792644,1,1,1
78966,672106,1,1,1
33845,672106,1,1,1
567476,672106,1,1,1
638963,672106,1,1,1
672106,810724,1,1,1
672106,850680,1,1,1
672106,839385,1,1,1
288978,672106,1,1,1
586503,672106,1,1,1
672106,934048,1,1,1
